step,train_loss,val_loss,lr,grad_norm,tokens_seen
2950,3.7367,,0.0004,0.29,3093299200
2960,3.6926,,0.0004,0.26,3103784960
2970,3.7214,,0.0004,0.29,3114270720
2980,3.7602,,0.0004,0.25,3124756480
2990,3.6911,,0.0004,0.29,3135242240
3000,3.7717,3.7347,0.0004,0.27,3145728000
3010,3.7139,,0.0004,0.27,3156213760
3020,3.6965,,0.0004,0.25,3166699520
3030,3.7364,,0.0004,0.25,3177185280
3040,3.701,,0.0004,0.24,3187671040
3050,3.741,,0.0004,0.26,3198156800
3060,3.7226,,0.0004,0.31,3208642560
3070,3.6797,,0.0004,0.23,3219128320
3080,3.7179,,0.0004,0.29,3229614080
3090,3.7042,,0.0004,0.28,3240099840
3100,3.7016,,0.0004,0.26,3250585600
3110,3.733,,0.0004,0.3,3261071360
3120,3.7065,,0.0004,0.28,3271557120
3130,3.7353,,0.0004,0.31,3282042880
3140,3.667,,0.0004,0.28,3292528640
3150,3.6855,,0.0004,0.29,3303014400
3160,3.6887,,0.0004,0.31,3313500160
3170,3.7023,,0.0004,0.27,3323985920
3180,3.693,,0.0004,0.28,3334471680
3190,3.668,,0.0004,0.26,3344957440
3200,3.6828,,0.0004,0.25,3355443200
3210,3.6544,,0.0004,0.31,3365928960
3220,3.7211,,0.0004,0.28,3376414720
3230,3.7087,,0.0004,0.26,3386900480
3240,3.7267,,0.0004,0.25,3397386240
3250,3.6353,,0.0004,0.29,3407872000
3260,3.7331,,0.0004,0.29,3418357760
3270,3.7591,,0.0004,0.26,3428843520
3280,3.6806,,0.0004,0.28,3439329280
3290,3.6878,,0.0004,0.27,3449815040
3300,3.6887,,0.0004,0.25,3460300800
3310,3.6695,,0.0004,0.27,3470786560
3320,3.7113,,0.0004,0.27,3481272320
3330,3.6564,,0.0004,0.24,3491758080
3340,3.664,,0.0004,0.26,3502243840
3350,3.6829,,0.0004,0.28,3512729600
3360,3.6877,,0.0004,0.27,3523215360
3370,3.6451,,0.0004,0.25,3533701120
3380,3.6533,,0.0004,0.28,3544186880
3390,3.6835,,0.0004,0.27,3554672640
3400,3.7091,,0.0004,0.3,3565158400
3410,3.6932,,0.0004,0.26,3575644160
3420,3.6788,,0.0004,0.28,3586129920
3430,3.5792,,0.0004,0.25,3596615680
3440,3.6611,,0.0004,0.24,3607101440
3450,3.7072,,0.0004,0.26,3617587200
3460,3.6505,,0.0004,0.29,3628072960
3470,3.6574,,0.0004,0.28,3638558720
3480,3.6768,,0.0004,0.25,3649044480
3490,3.7067,,0.0004,0.32,3659530240
3500,3.6971,,0.0004,0.3,3670016000
3510,3.6521,,0.0004,0.26,3680501760
3520,3.6759,,0.0004,0.26,3690987520
3530,3.6894,,0.0004,0.28,3701473280
3540,3.6652,,0.0004,0.3,3711959040
3550,3.7039,,0.0004,0.26,3722444800
3560,3.6796,,0.0004,0.26,3732930560
3570,3.694,,0.0004,0.28,3743416320
3580,3.709,,0.0004,0.28,3753902080
3590,3.6493,,0.0004,0.28,3764387840
3600,3.6432,,0.0004,0.27,3774873600
3610,3.6824,,0.0004,0.28,3785359360
3620,3.6202,,0.0004,0.26,3795845120
3630,3.6582,,0.0004,0.27,3806330880
3640,3.6971,,0.0004,0.24,3816816640
3650,3.6692,,0.0004,0.28,3827302400
3660,3.6548,,0.0004,0.26,3837788160
3670,3.6758,,0.0004,0.27,3848273920
3680,3.6626,,0.0004,0.25,3858759680
3690,3.6115,,0.0004,0.25,3869245440
3700,3.6521,,0.0004,0.25,3879731200
3710,3.6524,,0.0004,0.27,3890216960
3720,3.6823,,0.0004,0.25,3900702720
3730,3.6217,,0.0004,0.29,3911188480
3740,3.6438,,0.0004,0.27,3921674240
3750,3.6746,,0.0004,0.28,3932160000
3760,3.6766,,0.0004,0.29,3942645760
3770,3.6417,,0.0004,0.28,3953131520
3780,3.6506,,0.0004,0.26,3963617280
3790,3.6241,,0.0004,0.26,3974103040
3800,3.6611,,0.0004,0.27,3984588800
3810,3.6508,,0.0004,0.26,3995074560
3820,3.6306,,0.0004,0.29,4005560320
3830,3.6134,,0.0004,0.24,4016046080
3840,3.6384,,0.0004,0.25,4026531840
3850,3.6209,,0.0004,0.26,4037017600
3860,3.5968,,0.0004,0.27,4047503360
3870,3.6096,,0.0004,0.28,4057989120
3880,3.6568,,0.0004,0.24,4068474880
3890,3.6719,,0.0004,0.26,4078960640
3900,3.6302,,0.0004,0.27,4089446400
3910,3.6276,,0.0004,0.27,4099932160
3920,3.662,,0.0004,0.27,4110417920
3930,3.6472,,0.0004,0.26,4120903680
3940,3.6727,,0.0004,0.28,4131389440
3950,3.6183,,0.0004,0.26,4141875200
3960,3.6698,,0.0004,0.28,4152360960
3970,3.6515,,0.0004,0.27,4162846720
3980,3.6104,,0.0004,0.24,4173332480
3990,3.6376,,0.0004,0.27,4183818240
