params: 109.5M | device: cuda
step  1650 | loss 3.9151 | lr 4.00e-04 | gnorm 0.36 | 39,692 tok/s | mfu 21.7%
step  1660 | loss 3.9157 | lr 4.00e-04 | gnorm 0.30 | 39,483 tok/s | mfu 21.6%
step  1670 | loss 3.8952 | lr 4.00e-04 | gnorm 0.33 | 39,461 tok/s | mfu 21.6%
step  1680 | loss 3.9038 | lr 4.00e-04 | gnorm 0.31 | 39,610 tok/s | mfu 21.7%
step  1690 | loss 3.8872 | lr 4.00e-04 | gnorm 0.32 | 39,559 tok/s | mfu 21.7%
step  1700 | loss 3.9123 | lr 4.00e-04 | gnorm 0.30 | 39,554 tok/s | mfu 21.7%
step  1710 | loss 3.9025 | lr 4.00e-04 | gnorm 0.35 | 39,474 tok/s | mfu 21.6%
step  1720 | loss 3.9015 | lr 4.00e-04 | gnorm 0.30 | 39,541 tok/s | mfu 21.7%
step  1730 | loss 3.9492 | lr 4.00e-04 | gnorm 0.30 | 39,542 tok/s | mfu 21.7%
step  1740 | loss 3.8990 | lr 4.00e-04 | gnorm 0.28 | 39,505 tok/s | mfu 21.6%
step  1750 | loss 3.8758 | lr 4.00e-04 | gnorm 6.03 | 39,510 tok/s | mfu 21.6%
step  1760 | loss 3.9274 | lr 4.00e-04 | gnorm 0.41 | 39,430 tok/s | mfu 21.6%
step  1770 | loss 3.8743 | lr 4.00e-04 | gnorm 0.33 | 39,468 tok/s | mfu 21.6%
step  1780 | loss 3.9137 | lr 4.00e-04 | gnorm 0.41 | 39,439 tok/s | mfu 21.6%
step  1790 | loss 3.9055 | lr 4.00e-04 | gnorm 0.28 | 39,481 tok/s | mfu 21.6%
step  1800 | loss 3.8792 | lr 4.00e-04 | gnorm 0.38 | 39,473 tok/s | mfu 21.6%
step  1810 | loss 3.8836 | lr 4.00e-04 | gnorm 5.33 | 39,672 tok/s | mfu 21.7%
step  1820 | loss 3.9255 | lr 4.00e-04 | gnorm 1.01 | 39,679 tok/s | mfu 21.7%
step  1830 | loss 3.8767 | lr 4.00e-04 | gnorm 1.97 | 39,517 tok/s | mfu 21.6%
